open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1571788800000,8020.68,8047.78,7172.76,7465,108484.139,1571875199999,828695587.22741,202487,52606.530,402104914.23656,0
1571875200000,7465.18,7495.81,7337.44,7411.35,66719.534,1571961599999,495690565.11975,111756,30969.405,230099709.68439,0
1571961600000,7410.07,8800,7359,8650,165118.926,1572047999999,1351037936.49978,322189,84120.471,688544824.62459,0
1572048000000,8650,10408.48,8626.89,9232.22,248161.161,1572134399999,2322814045.64929,503375,122864.960,1150211174.50019,0
1572134400000,9234.75,9803.83,9066.07,9533.32,163544.019,1572220799999,1551811193.38667,309972,80566.537,764499120.83264,0
1572220800000,9534.37,9930.13,9156.03,9217.36,155599.975,1572307199999,1475693085.47329,279048,76273.351,723564688.41840,0
1572307200000,9215.78,9569.10,9070,9415.02,124703.014,1572393599999,1169427308.33374,242823,62048.878,581950211.43687,0
1572393600000,9415.02,9418.65,8975.72,9165.30,98464.858,1572479999999,904505540.99763,233836,48285.836,443630358.87190,0
1572480000000,9163.40,9438.64,8933,9150,98836.044,1572566399999,907028492.38510,247658,48306.456,443407541.08509,0
1572566400000,9149.88,9280,9050.27,9231.01,87256.949,1572652799999,798942104.65699,237247,43597.276,399260881.59083,0
1572652800000,9231.70,9375,9194.98,9287.80,56602.055,1572739199999,524748680.13959,163182,28059.740,260168612.43004,0
1572739200000,9288.96,9366.69,9073,9197.88,75612.722,1572825599999,695623695.12204,257133,36510.146,335956143.69011,0
1572825600000,9197.86,9550,9126.01,9395.46,90433.357,1572911999999,841596521.34874,248571,45855.157,426830045.75913,0
1572912000000,9395.47,9457.13,9164.33,9313.20,113738.226,1572998399999,1060847258.19057,276198,55746.252,520070934.39106,0
1572998400000,9313.10,9450,9259.48,9343.60,73767.911,1573084799999,689203217.44144,190226,36712.807,343050022.06348,0
1573084800000,9344.29,9381.93,9091.20,9219.64,77389.569,1573171199999,714933248.83024,178691,37470.371,346192853.59392,0
1573171200000,9221.63,9259.30,8669.85,8775.03,151851.160,1573257599999,1355101393.82227,319405,72769.692,649293540.81917,0
1573257600000,8775.60,8878,8727,8811.15,66846.392,1573343999999,588949194.26502,183364,33155.841,292132348.52347,0
1573344000000,8811.30,9187,8760,9041.31,91099.197,1573430399999,814629855.82619,245197,46128.500,412510349.46875,0
1573430400000,9041.31,9072.91,8611.11,8728.93,113373.762,1573516799999,996043073.24061,324917,54699.882,480481270.04877,0
1573516800000,8729.89,8889.06,8552.12,8817,107520.546,1573603199999,938793146.96562,287214,53715.539,469120125.09438,0
1573603200000,8817.94,8838,8712,8774.76,58585.811,1573689599999,513537401.05586,163995,28973.713,253992939.01059,0
1573689600000,8774.78,8798.06,8581.39,8642.25,87099.995,1573775999999,754801551.10366,225625,42551.679,368778066.66991,0
1573776000000,8642.47,8780,8380,8473.27,145602.497,1573862399999,1246865100.25388,368156,70893.746,607257636.23248,0
1573862400000,8473.30,8540.54,8435,8491.06,48657.040,1573948799999,412710046.69823,152747,24188.913,205184331.39861,0
1573948800000,8491.18,8631,8355.78,8504.04,72152.266,1574035199999,614653043.32686,215149,35856.741,305540218.52455,0
1574035200000,8504.13,8504.71,8050,8183.26,123477.142,1574121599999,1028202469.94838,363313,57762.941,481284030.80230,0
1574121600000,8183.30,8212.87,8000,8131.70,110854.030,1574207999999,898778770.86044,294385,55317.768,448604645.23986,0
1574208000000,8131.12,8230,8037.50,8094.05,87352.380,1574294399999,708540147.01943,241974,42908.637,348108865.77557,0
1574294400000,8094.57,8131.51,7432,7621.90,180289.189,1574380799999,1400628627.16021,412277,85629.625,665273856.38300,0
1574380800000,7621.89,7765.03,6762.73,7262.72,371213.951,1574467199999,2688155961.25170,999166,181934.585,1317759038.42699,0
1574467200000,7261.89,7345.84,7073.38,7305.99,139643.311,1574553599999,1008592734.24347,378359,69436.266,501584575.32315,0
1574553600000,7306.19,7324.92,6855.91,6900.86,183676.078,1574639999999,1303419525.39099,504021,90242.175,640683949.08767,0
1574640000000,6899.77,7386.29,6510.19,7102.03,333987.914,1574726399999,2320368143.08612,926856,166657.753,1158186261.82566,0
1574726400000,7103.34,7340.06,7011.90,7150,193962.094,1574812799999,1384559257.54580,525112,96641.345,689914525.11150,0
1574812800000,7149.97,7669.20,6850,7506.77,297842.994,1574899199999,2162938473.36819,787562,150498.289,1093383212.51908,0
1574899200000,7506.78,7643,7356,7415.79,175000.609,1574985599999,1314201480.28623,439167,86015.121,646137430.46201,0
1574985600000,7417,7850,7394.57,7736.66,185819.186,1575071999999,1415257727.65399,481870,93865.649,714816879.60473,0
